"storenum","lat","long","year","new","state","population"
901,29.5728254,-97.9413047,1995,0,"TX",18958751
901,29.5728254,-97.9413047,2000,0,"TX",20945963
901,29.5728254,-97.9413047,2005,0,"TX",22801920
902,39.6461731,-86.8217381,1990,0,"IN",5557798
902,39.6461731,-86.8217381,1995,0,"IN",5851459
902,39.6461731,-86.8217381,2000,0,"IN",6091649
902,39.6461731,-86.8217381,2005,0,"IN",6253120
903,32.288584,-90.268599,1990,0,"MS",2578897
903,32.288584,-90.268599,1995,0,"MS",2722659
903,32.288584,-90.268599,2000,0,"MS",2848310
903,32.288584,-90.268599,2005,0,"MS",2900116
904,30.3832557,-87.6835796,1990,0,"AL",4050055
904,30.3832557,-87.6835796,1995,0,"AL",4296800
904,30.3832557,-87.6835796,2000,0,"AL",4451849
904,30.3832557,-87.6835796,2005,0,"AL",4545049
905,40.151566,-105.1285114,1990,0,"CO",3307618
905,40.151566,-105.1285114,1995,0,"CO",3826653
905,40.151566,-105.1285114,2000,0,"CO",4328070
905,40.151566,-105.1285114,2005,0,"CO",4660780
906,35.525708,-108.771237,1990,0,"NM",1521574
906,35.525708,-108.771237,1995,0,"NM",1720394
906,35.525708,-108.771237,2000,0,"NM",1820813
906,35.525708,-108.771237,2005,0,"NM",1916538
907,33.0370824,-83.9384749,1990,0,"GA",6512602
907,33.0370824,-83.9384749,1995,0,"GA",7328413
907,33.0370824,-83.9384749,2000,0,"GA",8230161
907,33.0370824,-83.9384749,2005,0,"GA",9097428
908,28.448092,-81.4249789,1990,0,"FL",13033307
908,28.448092,-81.4249789,1995,0,"FL",14537875
908,28.448092,-81.4249789,2000,0,"FL",16047118
908,28.448092,-81.4249789,2005,0,"FL",17783868
909,29.9555398,-89.9839094,1990,0,"LA",4221532
909,29.9555398,-89.9839094,1995,0,"LA",4378779
909,29.9555398,-89.9839094,2000,0,"LA",4468979
909,29.9555398,-89.9839094,2005,0,"LA",4497691
910,42.591416,-88.412733,1990,0,"WI",4904562
910,42.591416,-88.412733,1995,0,"WI",5184836
910,42.591416,-88.412733,2000,0,"WI",5374254
910,42.591416,-88.412733,2005,0,"WI",5541443
911,29.875262,-90.09395,1990,0,"LA",4221532
911,29.875262,-90.09395,1995,0,"LA",4378779
911,29.875262,-90.09395,2000,0,"LA",4468979
911,29.875262,-90.09395,2005,0,"LA",4497691
912,30.035444,-89.983815,1990,0,"LA",4221532
912,30.035444,-89.983815,1995,0,"LA",4378779
912,30.035444,-89.983815,2000,0,"LA",4468979
912,30.035444,-89.983815,2005,0,"LA",4497691
913,43.291317,-91.754311,1990,0,"IA",2781018
913,43.291317,-91.754311,1995,0,"IA",2867373
913,43.291317,-91.754311,2000,0,"IA",2928184
913,43.291317,-91.754311,2005,0,"IA",2949450
914,36.6756426,-93.8798823,1990,0,"MO",5128880
914,36.6756426,-93.8798823,1995,0,"MO",5378247
914,36.6756426,-93.8798823,2000,0,"MO",5606065
914,36.6756426,-93.8798823,2005,0,"MO",5806639
915,29.643723,-95.5714799,1990,0,"TX",17056755
915,29.643723,-95.5714799,1995,0,"TX",18958751
915,29.643723,-95.5714799,2000,0,"TX",20945963
915,29.643723,-95.5714799,2005,0,"TX",22801920
916,31.2459885,-89.3276252,1990,0,"MS",2578897
916,31.2459885,-89.3276252,1995,0,"MS",2722659
916,31.2459885,-89.3276252,2000,0,"MS",2848310
916,31.2459885,-89.3276252,2005,0,"MS",2900116
917,31.107142,-99.3326415,1990,0,"TX",17056755
917,31.107142,-99.3326415,1995,0,"TX",18958751
917,31.107142,-99.3326415,2000,0,"TX",20945963
917,31.107142,-99.3326415,2005,0,"TX",22801920
918,32.5304009,-94.3510014,1990,0,"TX",17056755
918,32.5304009,-94.3510014,1995,0,"TX",18958751
918,32.5304009,-94.3510014,2000,0,"TX",20945963
918,32.5304009,-94.3510014,2005,0,"TX",22801920
919,30.440981,-86.6411059,1990,0,"FL",13033307
919,30.440981,-86.6411059,1995,0,"FL",14537875
919,30.440981,-86.6411059,2000,0,"FL",16047118
919,30.440981,-86.6411059,2005,0,"FL",17783868
921,38.0274707,-97.9064026,1990,0,"CO",3307618
921,38.0274707,-97.9064026,1995,0,"CO",3826653
921,38.0274707,-97.9064026,2000,0,"CO",4328070
921,38.0274707,-97.9064026,2005,0,"CO",4660780
922,38.235306,-86.1308086,1990,0,"IN",5557798
922,38.235306,-86.1308086,1995,0,"IN",5851459
922,38.235306,-86.1308086,2000,0,"IN",6091649
922,38.235306,-86.1308086,2005,0,"IN",6253120
923,40.034134,-85.998312,1990,0,"IN",5557798
923,40.034134,-85.998312,1995,0,"IN",5851459
923,40.034134,-85.998312,2000,0,"IN",6091649
923,40.034134,-85.998312,2005,0,"IN",6253120
924,40.625447,-103.234867,1990,0,"CO",3307618
924,40.625447,-103.234867,1995,0,"CO",3826653
924,40.625447,-103.234867,2000,0,"CO",4328070
924,40.625447,-103.234867,2005,0,"CO",4660780
925,27.983608,-82.301281,1990,0,"FL",13033307
925,27.983608,-82.301281,1995,0,"FL",14537875
925,27.983608,-82.301281,2000,0,"FL",16047118
925,27.983608,-82.301281,2005,0,"FL",17783868
926,27.2269872,-98.1441714,1990,0,"TX",17056755
926,27.2269872,-98.1441714,1995,0,"TX",18958751
926,27.2269872,-98.1441714,2000,0,"TX",20945963
926,27.2269872,-98.1441714,2005,0,"TX",22801920
927,34.1961889,-101.753224,1990,0,"TX",17056755
927,34.1961889,-101.753224,1995,0,"TX",18958751
927,34.1961889,-101.753224,2000,0,"TX",20945963
927,34.1961889,-101.753224,2005,0,"TX",22801920
929,27.266314,-80.286052,1990,0,"FL",13033307
929,27.266314,-80.286052,1995,0,"FL",14537875
929,27.266314,-80.286052,2000,0,"FL",16047118
929,27.266314,-80.286052,2005,0,"FL",17783868
930,32.326193,-86.232436,1990,0,"AL",4050055
930,32.326193,-86.232436,1995,0,"AL",4296800
930,32.326193,-86.232436,2000,0,"AL",4451849
930,32.326193,-86.232436,2005,0,"AL",4545049
931,27.6372,-80.4427819,1990,0,"FL",13033307
931,27.6372,-80.4427819,1995,0,"FL",14537875
931,27.6372,-80.4427819,2000,0,"FL",16047118
931,27.6372,-80.4427819,2005,0,"FL",17783868
932,33.2607773,-84.2636909,1990,0,"GA",6512602
932,33.2607773,-84.2636909,1995,0,"GA",7328413
932,33.2607773,-84.2636909,2000,0,"GA",8230161
932,33.2607773,-84.2636909,2005,0,"GA",9097428
933,41.9368674,-89.0704723,1990,0,"IL",11453316
933,41.9368674,-89.0704723,1995,0,"IL",12008437
933,41.9368674,-89.0704723,2000,0,"IL",12437645
933,41.9368674,-89.0704723,2005,0,"IL",12674452
934,30.625124,-87.908018,1990,0,"AL",4050055
934,30.625124,-87.908018,1995,0,"AL",4296800
934,30.625124,-87.908018,2000,0,"AL",4451849
934,30.625124,-87.908018,2005,0,"AL",4545049
935,30.4722,-90.956699,1990,0,"LA",4221532
935,30.4722,-90.956699,1995,0,"LA",4378779
935,30.4722,-90.956699,2000,0,"LA",4468979
935,30.4722,-90.956699,2005,0,"LA",4497691
936,39.139328,-88.561381,1990,0,"IL",11453316
936,39.139328,-88.561381,1995,0,"IL",12008437
936,39.139328,-88.561381,2000,0,"IL",12437645
936,39.139328,-88.561381,2005,0,"IL",12674452
937,34.021028,-84.552779,1990,0,"GA",6512602
937,34.021028,-84.552779,1995,0,"GA",7328413
937,34.021028,-84.552779,2000,0,"GA",8230161
937,34.021028,-84.552779,2005,0,"GA",9097428
938,32.382502,-86.183568,1990,0,"AL",4050055
938,32.382502,-86.183568,1995,0,"AL",4296800
938,32.382502,-86.183568,2000,0,"AL",4451849
938,32.382502,-86.183568,2005,0,"AL",4545049
939,31.523441,-97.167826,1990,0,"TX",17056755
939,31.523441,-97.167826,1995,0,"TX",18958751
939,31.523441,-97.167826,2000,0,"TX",20945963
939,31.523441,-97.167826,2005,0,"TX",22801920
940,32.74526,-97.451733,1990,0,"TX",17056755
940,32.74526,-97.451733,1995,0,"TX",18958751
940,32.74526,-97.451733,2000,0,"TX",20945963
940,32.74526,-97.451733,2005,0,"TX",22801920
941,27.893652,-82.270826,1990,0,"FL",13033307
941,27.893652,-82.270826,1995,0,"FL",14537875
941,27.893652,-82.270826,2000,0,"FL",16047118
941,27.893652,-82.270826,2005,0,"FL",17783868
942,28.549654,-81.531722,1990,0,"FL",13033307
942,28.549654,-81.531722,1995,0,"FL",14537875
942,28.549654,-81.531722,2000,0,"FL",16047118
942,28.549654,-81.531722,2005,0,"FL",17783868
943,28.633277,-81.323234,1990,0,"FL",13033307
943,28.633277,-81.323234,1995,0,"FL",14537875
943,28.633277,-81.323234,2000,0,"FL",16047118
943,28.633277,-81.323234,2005,0,"FL",17783868
944,30.7290087,-86.5675319,1990,0,"FL",13033307
944,30.7290087,-86.5675319,1995,0,"FL",14537875
944,30.7290087,-86.5675319,2000,0,"FL",16047118
944,30.7290087,-86.5675319,2005,0,"FL",17783868
945,33.590084,-101.93708,1990,0,"TX",17056755
945,33.590084,-101.93708,1995,0,"TX",18958751
945,33.590084,-101.93708,2000,0,"TX",20945963
945,33.590084,-101.93708,2005,0,"TX",22801920
946,37.1397505,-90.6995366,1990,0,"MO",5128880
946,37.1397505,-90.6995366,1995,0,"MO",5378247
946,37.1397505,-90.6995366,2000,0,"MO",5606065
946,37.1397505,-90.6995366,2005,0,"MO",5806639
947,33.6712824,-96.6120711,1990,0,"TX",17056755
947,33.6712824,-96.6120711,1995,0,"TX",18958751
947,33.6712824,-96.6120711,2000,0,"TX",20945963
947,33.6712824,-96.6120711,2005,0,"TX",22801920
948,35.7120111,-81.3206604,1990,0,"NC",6664016
948,35.7120111,-81.3206604,1995,0,"NC",7344674
948,35.7120111,-81.3206604,2000,0,"NC",8079383
948,35.7120111,-81.3206604,2005,0,"NC",8669452
949,32.6494928,-96.8725732,1990,0,"TX",17056755
949,32.6494928,-96.8725732,1995,0,"TX",18958751
949,32.6494928,-96.8725732,2000,0,"TX",20945963
949,32.6494928,-96.8725732,2005,0,"TX",22801920
950,35.2065399,-89.782879,1990,0,"TN",4894492
950,35.2065399,-89.782879,1995,0,"TN",5326936
950,35.2065399,-89.782879,2000,0,"TN",5703243
950,35.2065399,-89.782879,2005,0,"TN",5995748
951,30.0984589,-96.0784007,1990,0,"TX",17056755
951,30.0984589,-96.0784007,1995,0,"TX",18958751
951,30.0984589,-96.0784007,2000,0,"TX",20945963
951,30.0984589,-96.0784007,2005,0,"TX",22801920
952,31.1936529,-83.7653719,1990,0,"GA",6512602
952,31.1936529,-83.7653719,1995,0,"GA",7328413
952,31.1936529,-83.7653719,2000,0,"GA",8230161
952,31.1936529,-83.7653719,2005,0,"GA",9097428
953,40.4051783,-105.0464246,1990,0,"CO",3307618
953,40.4051783,-105.0464246,1995,0,"CO",3826653
953,40.4051783,-105.0464246,2000,0,"CO",4328070
953,40.4051783,-105.0464246,2005,0,"CO",4660780
954,31.8604382,-90.3959255,1990,0,"MS",2578897
954,31.8604382,-90.3959255,1995,0,"MS",2722659
954,31.8604382,-90.3959255,2000,0,"MS",2848310
954,31.8604382,-90.3959255,2005,0,"MS",2900116
955,28.68675,-81.513276,1990,0,"FL",13033307
955,28.68675,-81.513276,1995,0,"FL",14537875
955,28.68675,-81.513276,2000,0,"FL",16047118
955,28.68675,-81.513276,2005,0,"FL",17783868
956,28.137267,-80.5818199,1990,0,"FL",13033307
956,28.137267,-80.5818199,1995,0,"FL",14537875
956,28.137267,-80.5818199,2000,0,"FL",16047118
956,28.137267,-80.5818199,2005,0,"FL",17783868
957,41.4480902,-90.1542848,1990,0,"IL",11453316
957,41.4480902,-90.1542848,1995,0,"IL",12008437
957,41.4480902,-90.1542848,2000,0,"IL",12437645
957,41.4480902,-90.1542848,2005,0,"IL",12674452
958,42.7329599,-90.452621,1990,0,"WI",4904562
958,42.7329599,-90.452621,1995,0,"WI",5184836
958,42.7329599,-90.452621,2000,0,"WI",5374254
958,42.7329599,-90.452621,2005,0,"WI",5541443
959,28.666323,-82.139364,1990,0,"FL",13033307
959,28.666323,-82.139364,1995,0,"FL",14537875
959,28.666323,-82.139364,2000,0,"FL",16047118
959,28.666323,-82.139364,2005,0,"FL",17783868
960,29.063071,-82.455529,1990,0,"FL",13033307
960,29.063071,-82.455529,1995,0,"FL",14537875
960,29.063071,-82.455529,2000,0,"FL",16047118
960,29.063071,-82.455529,2005,0,"FL",17783868
961,30.0726971,-90.4966303,1990,0,"LA",4221532
961,30.0726971,-90.4966303,1995,0,"LA",4378779
961,30.0726971,-90.4966303,2000,0,"LA",4468979
961,30.0726971,-90.4966303,2005,0,"LA",4497691
962,37.1385654,-104.5228686,1990,0,"CO",3307618
962,37.1385654,-104.5228686,1995,0,"CO",3826653
962,37.1385654,-104.5228686,2000,0,"CO",4328070
962,37.1385654,-104.5228686,2005,0,"CO",4660780
963,32.7328835,-97.7925581,1990,0,"TX",17056755
963,32.7328835,-97.7925581,1995,0,"TX",18958751
963,32.7328835,-97.7925581,2000,0,"TX",20945963
963,32.7328835,-97.7925581,2005,0,"TX",22801920
964,31.682838,-106.311837,1990,0,"TX",17056755
964,31.682838,-106.311837,1995,0,"TX",18958751
964,31.682838,-106.311837,2000,0,"TX",20945963
964,31.682838,-106.311837,2005,0,"TX",22801920
965,44.020686,-90.508223,1990,0,"WI",4904562
965,44.020686,-90.508223,1995,0,"WI",5184836
965,44.020686,-90.508223,2000,0,"WI",5374254
965,44.020686,-90.508223,2005,0,"WI",5541443
966,37.3488874,-108.5604722,1990,0,"CO",3307618
966,37.3488874,-108.5604722,1995,0,"CO",3826653
966,37.3488874,-108.5604722,2000,0,"CO",4328070
966,37.3488874,-108.5604722,2005,0,"CO",4660780
967,28.458458,-82.630402,1990,0,"FL",13033307
967,28.458458,-82.630402,1995,0,"FL",14537875
967,28.458458,-82.630402,2000,0,"FL",16047118
967,28.458458,-82.630402,2005,0,"FL",17783868
968,28.006194,-81.722523,1990,0,"FL",13033307
968,28.006194,-81.722523,1995,0,"FL",14537875
968,28.006194,-81.722523,2000,0,"FL",16047118
968,28.006194,-81.722523,2005,0,"FL",17783868
969,30.424346,-89.089528,1990,0,"MS",2578897
